id,name,division,district,category
126,WORD OF LIFE AOG,CENTRAL,SUVA,LARGE
127,LIVING  ROCK AOG,CENTRAL,UPPER NAITASIR,LARGE
128,LAGILAGI AOG,CENTRAL,TAILEVU SOUTH,LARGE
129,AMAZING GRACE AOG,CENTRAL,NASINU,LARGE
130,SUNRISE AOG,CENTRAL,TAILEVU SOUTH,LARGE
131,REWA AOG,CENTRAL,REWA,LARGE
132,CAUBATI AOG,CENTRAL,SUVA,LARGE
133,HARVEST CHRISTIAN CENTRE,CENTRAL,REWA,LARGE
134,GALILEE MISSION AOG,CENTRAL,NASINU,LARGE
135,FREE VUTIA AOG,CENTRAL,REWA,LARGE
136,NAIVAKACAU AOG,CENTRAL,TAILEVU SOUTH,LARGE
137,COMMUNITY TRANFORMATION CHURCH,CENTRAL,NASINU,LARGE
138,KINOYA ASSEMBLY AOG,CENTRAL,HINDI,LARGE
139,BURNING BUSH AOG,CENTRAL,MID NAITASIRI,LARGE
140,LOMAIVUNA AOG,CENTRAL,MID NAITASIRI,LARGE
141,HANISI AOG,CENTRAL,SUVA,LARGE
142,CALVARY TEMPLE AOG,CENTRAL,SUVA,VERY LARGE
143,CENTRAL CHRISTIAN CENTRE,CENTRAL,LOWER NAITASIRI,VERY LARGE
144,GARDEN ISLAND  AOG,NORTH,HINDI,SMALL
145,CIKOBIA CHRISTIAN CENTRE,NORTH,MACUATA EAST,SMALL
146,DREKENIWAI AOG,NORTH,CAKAUDROVE EAST,SMALL
147,KOROVATU  AOG,NORTH,CAKAUDROVE I WAI,SMALL
148,FAWN HARBOR,NORTH,ENGLISH,SMALL
149,RABI CH CENTRE,NORTH,ENGLISH,SMALL
150,SALVATION  AOG,NORTH,HINDI,SMALL
151,SAVU-ETULO CHRISTIAN C. (P.P.),NORTH,MACUATA WEST,SMALL
152,KOROINASOLO AOG,NORTH,BUA WEST,SMALL
153,ZEAL  AOG,NORTH,HINDI,SMALL
154,JERUSALEMI AOG,NORTH,CAKAUDROVE I WAI,SMALL
155,VUNIUTO  AOG,NORTH,BUA WEST,SMALL
156,NAISOGOCAUCAU AOG,NORTH,CAKAUDROVE WEST,SMALL
157,RABI FIRST CHURCH,NORTH,ENGLISH,SMALL
158,VANDHANA  AOG (BATIRI),NORTH,HINDI,SMALL
159,NAVONU  AOG,NORTH,CAKAUDROVE EAST,SMALL
160,WAINIGADRU  AOG,NORTH,MACUATA EAST,SMALL
161,NAVUNIEVU AOG,NORTH,BUA WEST,SMALL
162,NAKANACAGI AOG,NORTH,MACUATA WEST,SMALL
163,NAVAKASIGA AOG,NORTH,BUA WEST,SMALL
164,VANUAVOU AOG,NORTH,CAKAUDROVE EAST,SMALL
165,NAKOROVOU PREACHING POINT,NORTH,CAKAUDROVE WEST,SMALL
166,VIANI  AOG,NORTH,CAKAUDROVE EAST,SMALL
167,SUWENI AOG,NORTH,MACUATA EAST,SMALL
168,EVERYHOME CHRISTIAN CENTRE,NORTH,MACUATA WEST,SMALL
169,NASEA TRINITY,NORTH,ENGLISH,SMALL
170,NAVUTU AOG,NORTH,ENGLISH,SMALL
171,WAIQELE  AOG,NORTH,HINDI,SMALL
172,SAVUSAVU  AOG,NORTH,HINDI,SMALL
173,VUNA  AOG,NORTH,CAKAUDROVE I WAI,SMALL
174,DATELINE AOG (WAIYEVO),NORTH,ENGLISH,SMALL
175,NAMOVOIVOI  AOG,NORTH,BUA WEST,SMALL
176,NABUA AOG,NORTH,CAKAUDROVE EAST,SMALL
177,WELLSPRING NADUNA AOG,NORTH,MACUATA EAST,SMALL
178,FIRST SUNRISE AOG - BOUMA,NORTH,CAKAUDROVE I WAI,SMALL
179,VALEWAQA  AOG,NORTH,CAKAUDROVE EAST,SMALL
180,RAVIRAVI CHRISTIAN CENTER,NORTH,MACUATA WEST,MEDIUM
181,WAISEVU CHRISTIAN CENTRE,NORTH,BUA EAST,MEDIUM
182,MORAIA  AOG,NORTH,CAKAUDROVE I WAI,MEDIUM
183,VUSARATU AOG,NORTH,CAKAUDROVE EAST,MEDIUM
184,LUTUKINA  AOG,NORTH,MACUATA WEST,MEDIUM
185,NAKALOU  AOG,NORTH,MACUATA WEST,MEDIUM
186,BATINIVUREWAI,NORTH,BUA EAST,MEDIUM
187,KASAVU  AOG,NORTH,CAKAUDROVE EAST,MEDIUM
188,NASINU AOG,NORTH,CAKAUDROVE EAST,MEDIUM
189,LIGHTHOUSE MISSION FELLOWSHIP,NORTH,ENGLISH,MEDIUM
190,NIURUA  AOG,NORTH,MACUATA EAST,MEDIUM
191,DAMA  AOG,NORTH,BUA EAST,MEDIUM
192,TACILEVU  AOG,NORTH,CAKAUDROVE EAST,MEDIUM
193,PENIAL  AOG,NORTH,ENGLISH,MEDIUM
194,ARARATA WORSHIP CENTER,NORTH,MACUATA WEST,MEDIUM
195,NABOUWALU AOG,NORTH,BUA EAST,MEDIUM
196,NAMOLI  CHRISTIAN CENTRE,NORTH,MACUATA WEST,MEDIUM
197,WAILEVU EAST  AOG,NORTH,CAKAUDROVE WEST,MEDIUM
198,VITINA GRACE COMMUNITY CHURCH,NORTH,MACUATA EAST,MEDIUM
199,WAINIKELI REVIVAL CENTRE,NORTH,CAKAUDROVE I WAI,MEDIUM
200,BUA FIRST AOG (NAWACA),NORTH,BUA EAST,MEDIUM
201,WAILEVU WEST  AOG,NORTH,CAKAUDROVE WEST,MEDIUM
202,PATHWAY  AOG,NORTH,ENGLISH,MEDIUM
203,VUSASIVO  AOG,NORTH,CAKAUDROVE EAST,LARGE
204,WINMORE MISSION FLOCK,NORTH,ENGLISH,LARGE
205,VOTUA  AOG,NORTH,BUA WEST,LARGE
206,SEAQAQA CHRISTIAN CENTRE,NORTH,MACUATA WEST,LARGE
207,BATIRI  AOG,NORTH,MACUATA WEST,LARGE
208,BUA  AOG,NORTH,BUA WEST,LARGE
209,LABASA ASSEMBLY,NORTH,HINDI,LARGE
210,ZION  AOG,NORTH,CAKAUDROVE I WAI,LARGE
211,YAVUSA CHRISTIAN CENTRE,NORTH,MACUATA EAST,LARGE
212,DREKETI  AOG,NORTH,MACUATA WEST,LARGE
213,BETHANY  AOG,NORTH,CAKAUDROVE EAST,LARGE
214,EVANGEL TEMPLE  AOG,NORTH,MACUATA EAST,LARGE
215,LABASA MIRACLE CENTRE,NORTH,MACUATA EAST,VERY LARGE
216,MOUNT VULA A/G,WESTERN,NADI-MALOLO,SMALL
217,NAVAGA A/G,WESTERN,BA/LAUTOKA,SMALL
218,RABI & KIRIBATI A/G,WESTERN,ENGLISH LANGUAGE,SMALL
219,NASAU A/G,WESTERN,RA,SMALL
220,NASUKAMAI A/G,WESTERN,RA,SMALL
221,NADRUGU A/G,WESTERN,BA/LAUTOKA,SMALL
222,UCIWAINIBULA A/G,WESTERN,NADROGA-NAVOSA,SMALL
223,SOLEVU A/G,WESTERN,NADI-MALOLO,SMALL
224,"GOOD NEWS, RA",WESTERN,ENGLISH LANGUAGE,SMALL
225,NAILUVA A/G,WESTERN,RA,SMALL
226,SIGATOKA PEACE CHAPEL A/G,WESTERN,SOUTH WEST,SMALL
227,NAVAI A/G,WESTERN,TAVUA/VKLA/NVATU,SMALL
228,TAMASUA A/G,WESTERN,YASAWA,SMALL
229,HARVEST MINISTRY A/G,WESTERN,ENGLISH LANGUAGE,SMALL
230,NAMARA A/G,WESTERN,RA,SMALL
231,HOLY LAND A/G,WESTERN,NADROGA-NAVOSA,SMALL
232,NAKOROVOU A/G,WESTERN,RA,SMALL
233,VATUKACEVACEVA A/G,WESTERN,RA,SMALL
234,WAYALEVU A/G,WESTERN,YASAWA,SMALL
235,NAVATUSILA A/G,WESTERN,BA/LAUTOKA,SMALL
236,NADROUMAI A/G,WESTERN,NADROGA-NAVOSA,SMALL
237,SABETO PROMISED LIFE ANUGRAH,WESTERN,MID-WEST,SMALL
238,CROSSROAD INTERNATIONAL A/G,WESTERN,NADI-MALOLO,SMALL
239,YALOBI,WESTERN,YASAWA,SMALL
240,REHOBOTH WELLSPRING WORSHIP CHAPEL A/G,WESTERN,NADI-MALOLO,SMALL
241,GRACE COMMUNITY A/G,WESTERN,ENGLISH LANGUAGE,SMALL
242,NALAWA HARVEST A/G,WESTERN,RA,SMALL
243,NUBUMAKITA A/G,WESTERN,RA,SMALL
244,MARANATHA A/G,WESTERN,NORTH WEST,SMALL
245,MALOMALO A/G,WESTERN,NADROGA-NAVOSA,SMALL
246,BOUWAQA A/G,WESTERN,YASAWA,SMALL
247,KOROINASAU REVIVAL A/G,WESTERN,NADROGA-NAVOSA,SMALL
248,RIVER OF JOY CHRISTIAN CENTRE A/G,WESTERN,RA,SMALL
249,SPRING OF LIFE A/G,WESTERN,BA/LAUTOKA,SMALL
250,OREPI WORSHIP CENTRE,WESTERN,NADI-MALOLO,SMALL
251,NADARIVATU A/G,WESTERN,TAVUA/VKLA/NVATU,SMALL
252,HILL-SIDE A/G,WESTERN,NADROGA-NAVOSA,SMALL
253,NAISELELAGI A/G,WESTERN,RA,SMALL
254,NEW LIFE INTERNATIONAL A/G,WESTERN,NADI-MALOLO,SMALL
255,PEACE CHAPEL A/G,WESTERN,BA/LAUTOKA,SMALL
256,INTERNATIONAL MISSION CENTRE,WESTERN,NADI-MALOLO,SMALL
257,CONNECT A/G,WESTERN,ENGLISH LANGUAGE,SMALL
258,"GOOD NEWS, BA",WESTERN,ENGLISH LANGUAGE,SMALL
259,VATUQIWA A/G,WESTERN,NADI-MALOLO,SMALL
260,CELEBRATION CENTRE A/G,WESTERN,RA,SMALL
261,RA CHRISTIAN CENTRE A/G,WESTERN,RA,SMALL
262,MATACAWALEVU A/G,WESTERN,YASAWA,SMALL
263,MOUNTAIN OF PRAISE A/G,WESTERN,NADROGA-NAVOSA,SMALL
264,NAIYALAYALA A/G,WESTERN,NADI-MALOLO,SMALL
265,MAQERE JYOTI,WESTERN,NORTH WEST,SMALL
266,RAVIRAVI CHRISTIAN FELLOWSHIP A/G,WESTERN,NORTH WEST,SMALL
267,NAVALA A/G,WESTERN,BA/LAUTOKA,SMALL
268,ROSE OF SHARON A/G,WESTERN,ENGLISH LANGUAGE,SMALL
269,NEW COVENANT CORNERSTONE CHRISTIAN FELLOWSHIP A/G,WESTERN,RA,SMALL
270,NAWAQADAMU A/G,WESTERN,NADI-MALOLO,SMALL
271,RA REVIVAL CHRISTIAN CENTRE A/G,WESTERN,RA,SMALL
272,ANURAGH A/G,WESTERN,SOUTH WEST,SMALL
273,BUKUYA A/G,WESTERN,BA/LAUTOKA,SMALL
274,GRACE HILL A/G,WESTERN,NADROGA-NAVOSA,SMALL
275,ARADHANA A/G,WESTERN,NORTH WEST,SMALL
276,NAUSORI A/G,WESTERN,RA,SMALL
277,KOROLEVU A/G,WESTERN,NADROGA-NAVOSA,MEDIUM
278,LOMAWAI A/G,WESTERN,NADROGA-NAVOSA,MEDIUM
279,MAVUA A/G,WESTERN,NADROGA-NAVOSA,MEDIUM
280,KENANIVOU A/G,WESTERN,RA,MEDIUM
281,MATOKANA A/G,WESTERN,NADROGA-NAVOSA,MEDIUM
282,NASOVATAVA A/G,WESTERN,NADROGA-NAVOSA,MEDIUM
283,PARADISE A/G,WESTERN,YASAWA,MEDIUM
284,KINGS HOUSE - MOTO,WESTERN,BA/LAUTOKA,MEDIUM
285,KOROVOU A/G,WESTERN,NADROGA-NAVOSA,MEDIUM
286,TUVA A/G,WESTERN,NADROGA-NAVOSA,MEDIUM
287,YASAWA I RARA A/G,WESTERN,YASAWA,MEDIUM
288,KINGS HOUSE - VAROKO,WESTERN,BA/LAUTOKA,MEDIUM
289,NORTHWEST CHRISTIAN CENTRE A/G,WESTERN,NORTH WEST,MEDIUM
290,LIBERTY TABERNACLE A/G,WESTERN,NADROGA-NAVOSA,MEDIUM
291,BETHLEHEM A/G CHURCH,WESTERN,NORTH WEST,MEDIUM
292,TABALEI A/G,WESTERN,BA/LAUTOKA,MEDIUM
293,FAITH TABERNACLE A/G,WESTERN,NADROGA-NAVOSA,MEDIUM
294,LOMA A/G,WESTERN,NADROGA-NAVOSA,MEDIUM
295,TAU A/G,WESTERN,NADROGA-NAVOSA,MEDIUM
296,GRACE COMMUNITY A/G,WESTERN,NORTH WEST,MEDIUM
297,TUBARUA A/G,WESTERN,NADROGA-NAVOSA,MEDIUM
298,BURENITU A/G,WESTERN,RA,MEDIUM
299,NAVOLAU AOG,WESTERN,RA,MEDIUM
300,PECELI WORSHIP CENTRE A/G,WESTERN,TAVUA/VKLA/NVATU,MEDIUM
301,NASIVIKOSO A/G,WESTERN,BA/LAUTOKA,MEDIUM
302,TOWER OF STRENGTH A/G,WESTERN,ENGLISH LANGUAGE,MEDIUM
303,DRAIBA A/G,WESTERN,NADROGA-NAVOSA,MEDIUM
304,NAVO FELLOWSHIP CENTRE A/G,WESTERN,NADI-MALOLO,MEDIUM
305,SAVATU A/G,WESTERN,TAVUA/VKLA/NVATU,MEDIUM
306,YAQETA AOG,WESTERN,YASAWA,MEDIUM
307,FAITH WORSHIP CENTRE A/G,WESTERN,NADI-MALOLO,MEDIUM
308,TALEI CHRISTIAN FELLOWSHIP A/G,WESTERN,NADI-MALOLO,MEDIUM
309,LIVING HOPE A/G,WESTERN,NADROGA-NAVOSA,MEDIUM
310,CHRIST THE KING HOPE OF THE PACIFIC A/G,WESTERN,NADI-MALOLO,MEDIUM
311,BUKAMA A/G,WESTERN,YASAWA,MEDIUM
312,NALOTO A/G,WESTERN,BA/LAUTOKA,MEDIUM
313,THE CHURCH OF THE CROSS A/G,WESTERN,MID-WEST,MEDIUM
314,MATASO A/G,WESTERN,RA,MEDIUM
315,BATIRI A/G,WESTERN,NADROGA-NAVOSA,MEDIUM
316,NACULA A/G,WESTERN,YASAWA,MEDIUM
317,FAITH HOME SOLOVI A/G,WESTERN,NADI-MALOLO,MEDIUM
318,WAIMALIKA A/G,WESTERN,NADI-MALOLO,MEDIUM
319,GOOD LAND A/G,WESTERN,TAVUA/VKLA/NVATU,MEDIUM
320,WAICOBA A/G,WESTERN,NADROGA-NAVOSA,MEDIUM
321,SABETO A/G,WESTERN,NADI-MALOLO,MEDIUM
322,MALAKE A/G,WESTERN,RA,MEDIUM
323,GLAD TIDINGS A/G,WESTERN,MID-WEST,MEDIUM
324,WAILEVU A/G,WESTERN,RA,MEDIUM
325,WAIKUBUKUBU A/G,WESTERN,TAVUA/VKLA/NVATU,MEDIUM
326,CHRISTIAN LIFE CENTRE A/G,WESTERN,RA,MEDIUM
327,LATTER RAIN A/G,WESTERN,ENGLISH LANGUAGE,MEDIUM
328,ABBA LIFE FELLOWSHIP,WESTERN,NADI-MALOLO,MEDIUM
329,PROMISE LAND WORSHIP CENTRE,WESTERN,TAVUA/VKLA/NVATU,MEDIUM
330,LIFE CHURCH A/G,WESTERN,ENGLISH LANGUAGE,MEDIUM
331,EL-SHADDAI FAMILY NAWAKA A/G,WESTERN,NADI-MALOLO,LARGE
332,NAMATAKULA A/G,WESTERN,NADROGA-NAVOSA,LARGE
333,CHRIST CHURCH A/G,WESTERN,NADI-MALOLO,LARGE
334,RADIANT LIFE CHRISTIAN CENTRE A/G,WESTERN,YASAWA,LARGE
335,TAGUSU A/G,WESTERN,NADROGA-NAVOSA,LARGE
336,LOQI A/G,WESTERN,NADI-MALOLO,LARGE
337,NAICURCURU A/G,WESTERN,NADI-MALOLO,LARGE
338,TABERNACLE OF PRAISE A/G,WESTERN,NADI-MALOLO,LARGE
339,MOUNT HERMON A/G,WESTERN,RA,LARGE
340,LILY OF THE VALLEY A/G,WESTERN,NADROGA-NAVOSA,LARGE
341,LIVING WATER FAMILY A/G,WESTERN,TAVUA/VKLA/NVATU,LARGE
342,PROMISED LAND A/G,WESTERN,MID-WEST,LARGE
343,NABUAVATU AOG,WESTERN,NADROGA-NAVOSA,LARGE
344,WELLSPRING INTERNATIONAL A/G,WESTERN,NADROGA-NAVOSA,LARGE
345,ANAND A/G CHURCH,WESTERN,SOUTH WEST,LARGE
346,KESE A/G,WESTERN,YASAWA,LARGE
347,WORSHIP JESUS CENTRE A/G,WESTERN,YASAWA,LARGE
348,CALVARY A/G,WESTERN,MID-WEST,LARGE
349,VATUTURAGA,WESTERN,RA,LARGE
350,VUNAIVISERE CHRISTIAN CENTRE A/G,WESTERN,YASAWA,LARGE
351,BETHEL COMMUNITY CHURCH,WESTERN,BA/LAUTOKA,LARGE
352,SAIONI CHRISTIAN CENTRE A/G,WESTERN,NADROGA-NAVOSA,LARGE
353,AASHISH INTERNATIONAL A/G,WESTERN,MID-WEST,LARGE
354,BA A/G MISSION CENTRE,WESTERN,BA/LAUTOKA,LARGE
355,HOUSE OF PRAYER A/G,WESTERN,TAVUA/VKLA/NVATU,LARGE
356,"GOOD NEWS, LAUTOKA",WESTERN,ENGLISH LANGUAGE,LARGE
357,AWAKE A/G,WESTERN,NADI-MALOLO,LARGE
358,ABUNDANT LIFE A/G,WESTERN,NADI-MALOLO,LARGE
359,EVANGEL A/G,WESTERN,NADROGA-NAVOSA,LARGE
360,INTERNATIONAL FULLGOSPEL TABERNACLE CHURCH A/G,WESTERN,NADI-MALOLO,LARGE
361,INTERNATIONAL RESCUE CENTRE A/G,WESTERN,BA/LAUTOKA,LARGE
362,MOUNT. ZION CATHEDRAL A/G,WESTERN,BA/LAUTOKA,VERY LARGE
363,NAQARA AOG,MARITIME,LAU,MEDIUM
364,DALICONI AOG,MARITIME,LAU,SMALL
365,MUALEVU AOG,MARITIME,LAU,SMALL
366,TUVUCA AOG,MARITIME,LAU,SMALL
367,TUBOU AOG,MARITIME,LAU,SMALL
368,YADRANA AOG,MARITIME,LAU,SMALL
369,VAKANO AOG,MARITIME,LAU,SMALL
370,NEINI AOG,MARITIME,KADAVU,MEDIUM
371,DULOUS AOG,MARITIME,KADAVU,SMALL
372,NATUMUA AOG,MARITIME,KADAVU,MEDIUM
373,YAWE AOG,MARITIME,KADAVU,SMALL
374,YAVULU AOG,MARITIME,KADAVU,SMALL
375,DRAVUALU AOG,MARITIME,KADAVU,SMALL
376,BILIA AOG,MARITIME,KADAVU,SMALL
377,SOSO AOG,MARITIME,KADAVU,SMALL
378,RAKIRAKI AOG,MARITIME,KADAVU,SMALL
379,VALACEA AOG,MARITIME,KADAVU,SMALL
380,NACOMOTO AOG,MARITIME,KADAVU,SMALL
381,KABARIKI AOG,MARITIME,KADAVU,SMALL
382,NARIKOSO,MARITIME,KADAVU,SMALL
383,LEVUKA AOG,MARITIME,LOMAIVITI,MEDIUM
384,VIRO AOG,MARITIME,LOMAIVITI,SMALL
385,LOVONI AOG,MARITIME,LOMAIVITI,SMALL
386,TAVIA AOG,MARITIME,LOMAIVITI,SMALL
387,KALETI AOG,MARITIME,LOMAIVITI,MEDIUM
388,NATAULOA AOG,MARITIME,LOMAIVITI,SMALL
389,GAU AOG,MARITIME,LOMAIVITI,SMALL
